ChatGLM1-Checkpoint1,0.0376111749781421,0.0313989769790039,0.012828640585993527,0.0313989769790039
ChatGLM1-Checkpoint2,0.037936894048277936,0.03429141114865004,0.012443685279422065,0.03407101291183594
ChatGLM1-Checkpoint3,0.0350728487586089,0.034684653228041845,0.011164744981935653,0.03457808886316546
ChatGLM1-Checkpoint4,0.03588931252492906,0.033012310548958965,0.00887871427953801,0.033012310548958965
ChatGLM1-Checkpoint5,0.037171287781700826,0.030971976443284706,0.009571154303415146,0.030751578206470596
ChatGLM1-Checkpoint6,0.03500285317179223,0.03189769491471257,0.011051013013343552,0.03173429622190211
ChatGLM2-Checkpoint1,0.04112063807354438,0.03138453322276852,0.011162387449152154,0.03138453322276852
ChatGLM2-Checkpoint2,0.02616388391048675,0.0114300792151711,0.0042904301404751,0.0114300792151711
ChatGLM2-Checkpoint3,0.05371002834435522,0.02431483726988011,0.005623791071859776,0.02423824413262521
ChatGLM2-Checkpoint4,0.04625313594625368,0.0296719516022947,0.008703748593454476,0.0296719516022947
ChatGLM2-Checkpoint5,0.020867811034170607,0.008511091114924344,0.0031294042774342432,0.008511091114924344
ChatGLM2-Checkpoint6,0.031212649468029458,0.022055981406794097,0.008988662481309542,0.022055981406794097
ChatGLM3-Checkpoint1,3.234193705656221e-157,0.0,0.0,0.0
ChatGLM3-Checkpoint2,3.234193705656221e-157,0.0,0.0,0.0
ChatGLM3-Checkpoint3,3.234193705656221e-157,0.0,0.0,0.0
ChatGLM3-Checkpoint4,3.234193705656221e-157,0.0,0.0,0.0
ChatGLM3-Checkpoint5,3.234193705656221e-157,0.0,0.0,0.0
ChatGLM3-Checkpoint6,3.234193705656221e-157,0.0,0.0,0.0
